dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr025_nv20_13,0.879,0.879,0.879,0.871,0.931,0.9
SEIR01_sl1000_mr025_nv20_14,0.923,0.923,0.923,0.929,1,0.963
SEIR01_sl1000_mr025_nv20_15,0.955,0.913,0.933,0.846,0.957,0.898
SEIR01_sl1000_mr025_nv20_16,0.667,0.857,0.75,0.667,0.857,0.75
SEIR01_sl1000_mr025_nv20_17,0.917,0.88,0.898,0.893,1,0.943
SEIR01_sl1000_mr025_nv20_18,1,0.962,0.98,1,1,1
SEIR01_sl1000_mr025_nv20_19,1,1,1,0.981,1,0.991
SEIR01_sl1000_mr025_nv20_2,0.976,0.976,0.976,0.875,1,0.933
SEIR01_sl1000_mr025_nv20_20,0.931,0.871,0.9,0.879,0.935,0.906
SEIR01_sl1000_mr025_nv20_3,0.857,0.857,0.857,0.84,1,0.913
SEIR01_sl1000_mr025_nv20_4,1,0.875,0.933,1,1,1
SEIR01_sl1000_mr025_nv20_5,0.903,0.848,0.875,0.857,0.909,0.882
SEIR01_sl1000_mr025_nv20_6,1,1,1,1,1,1
SEIR01_sl1000_mr025_nv20_7,0.941,0.941,0.941,0.895,1,0.944
SEIR01_sl1000_mr025_nv20_8,1,0.8,0.889,1,1,1
SEIR01_sl1000_mr025_nv20_9,1,0.917,0.957,1,1,1
SEIR01_sl1000_mr025_nv5_1,0.872,0.829,0.85,0.864,0.927,0.894
SEIR01_sl1000_mr025_nv5_10,1,0.515,0.68,0.771,0.818,0.794
SEIR01_sl1000_mr025_nv5_11,0.882,0.789,0.833,0.789,0.789,0.789
SEIR01_sl1000_mr025_nv5_12,0.846,0.579,0.688,0.773,0.895,0.829
SEIR01_sl1000_mr025_nv5_13,1,0.75,0.857,0.923,1,0.96
SEIR01_sl1000_mr025_nv5_14,1,0.95,0.974,0.905,0.95,0.927
SEIR01_sl1000_mr025_nv5_15,0.926,0.926,0.926,0.818,1,0.9
SEIR01_sl1000_mr025_nv5_16,1,0.722,0.839,0.895,0.944,0.919
SEIR01_sl1000_mr025_nv5_17,1,0.818,0.9,0.917,1,0.957
SEIR01_sl1000_mr025_nv5_18,0.905,0.809,0.854,0.88,0.936,0.907
SEIR01_sl1000_mr025_nv5_19,0.982,0.966,0.974,0.892,1,0.943
SEIR01_sl1000_mr025_nv5_2,0.933,0.875,0.903,0.833,0.938,0.882
SEIR01_sl1000_mr025_nv5_20,0.95,0.792,0.864,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv5_3,1,0.9,0.947,1,1,1
SEIR01_sl1000_mr025_nv5_4,0.854,0.82,0.837,0.855,0.94,0.895
SEIR01_sl1000_mr025_nv5_5,0.8,0.784,0.792,0.717,0.745,0.731
SEIR01_sl1000_mr025_nv5_6,1,1,1,0.889,1,0.941
SEIR01_sl1000_mr025_nv5_7,1,0.9,0.947,1,1,1
SEIR01_sl1000_mr025_nv5_8,0.955,0.913,0.933,0.852,1,0.92
SEIR01_sl1000_mr025_nv5_9,1,0.667,0.8,0.9,1,0.947
SEIR01_sl1000_mr05_nv10_1,1,0.846,0.917,0.867,1,0.929
SEIR01_sl1000_mr05_nv10_10,1,1,1,1,1,1
SEIR01_sl1000_mr05_nv10_11,0.871,0.844,0.857,0.833,0.938,0.882
SEIR01_sl1000_mr05_nv10_12,0.945,0.897,0.92,0.885,0.931,0.908
SEIR01_sl1000_mr05_nv10_13,1,0.875,0.933,0.8,1,0.889
SEIR01_sl1000_mr05_nv10_14,0.892,0.846,0.868,0.8,0.821,0.81
SEIR01_sl1000_mr05_nv10_15,0.933,0.875,0.903,0.941,1,0.97
SEIR01_sl1000_mr05_nv10_16,1,1,1,1,1,1
SEIR01_sl1000_mr05_nv10_17,0.957,1,0.978,0.8,0.909,0.851
SEIR01_sl1000_mr05_nv10_18,0.93,0.946,0.938,0.887,0.982,0.932
SEIR01_sl1000_mr05_nv10_19,0.833,0.714,0.769,0.833,0.714,0.769
SEIR01_sl1000_mr05_nv10_2,1,1,1,1,1,1
SEIR01_sl1000_mr05_nv10_20,0.961,0.942,0.951,0.877,0.962,0.917
SEIR01_sl1000_mr05_nv10_3,0.957,0.88,0.917,0.862,1,0.926
SEIR01_sl1000_mr05_nv10_4,0.9,0.818,0.857,0.786,1,0.88
SEIR01_sl1000_mr05_nv10_5,1,0.944,0.971,0.947,1,0.973
SEIR01_sl1000_mr05_nv10_6,0.925,0.925,0.925,0.826,0.95,0.884
SEIR01_sl1000_mr05_nv10_7,0.889,0.87,0.879,0.854,0.891,0.872
SEIR01_sl1000_mr05_nv10_8,1,1,1,1,1,1
SEIR01_sl1000_mr05_nv10_9,1,0.962,0.98,0.897,1,0.945
SEIR01_sl250_mr025_nv10_1,0.739,0.756,0.747,0.744,0.711,0.727
SEIR01_sl250_mr025_nv10_10,0.765,0.765,0.765,0.762,0.941,0.842
SEIR01_sl250_mr025_nv10_11,0.765,0.812,0.788,0.722,0.812,0.765
SEIR01_sl250_mr025_nv10_12,0.818,0.837,0.828,0.787,0.86,0.822
SEIR01_sl250_mr025_nv10_13,0.667,0.667,0.667,0.714,0.833,0.769
SEIR01_sl250_mr025_nv10_14,0.75,0.848,0.796,0.776,0.826,0.8
SEIR01_sl250_mr025_nv10_15,0.875,1,0.933,0.875,1,0.933
SEIR01_sl250_mr025_nv10_16,0.638,0.652,0.645,0.604,0.63,0.617
SEIR01_sl250_mr025_nv10_17,0.556,0.625,0.588,0.625,0.625,0.625
SEIR01_sl250_mr025_nv10_18,0.744,0.906,0.817,0.737,0.875,0.8
SEIR01_sl250_mr025_nv10_19,0.8,1,0.889,0.8,1,0.889
SEIR01_sl250_mr025_nv10_2,0.812,0.929,0.867,0.778,1,0.875
SEIR01_sl250_mr025_nv10_20,0.789,0.833,0.811,0.762,0.889,0.821
SEIR01_sl250_mr025_nv10_3,0.8,0.889,0.842,0.781,0.926,0.847
SEIR01_sl250_mr025_nv10_4,0.857,0.857,0.857,0.867,0.929,0.897
SEIR01_sl250_mr025_nv10_5,0.73,0.659,0.692,0.806,0.707,0.753
SEIR01_sl250_mr025_nv10_6,0.731,0.864,0.792,0.731,0.864,0.792
SEIR01_sl250_mr025_nv10_7,1,0.929,0.963,1,1,1
SEIR01_sl250_mr025_nv10_8,0.811,0.882,0.845,0.789,0.882,0.833
SEIR01_sl250_mr025_nv10_9,0.806,0.82,0.813,0.842,0.787,0.814
SEIR01_sl500_mr025_nv10_1,0.727,0.8,0.762,0.714,1,0.833
SEIR01_sl500_mr025_nv10_10,0.929,0.929,0.929,0.824,1,0.903
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824,0.842,0.941,0.889
SEIR01_sl500_mr025_nv10_12,0.904,0.922,0.913,0.863,0.863,0.863
SEIR01_sl500_mr025_nv10_13,0.882,0.75,0.811,0.8,0.8,0.8
SEIR01_sl500_mr025_nv10_14,1,1,1,0.857,1,0.923
SEIR01_sl500_mr025_nv10_15,0.902,0.948,0.924,0.846,0.948,0.894
SEIR01_sl500_mr025_nv10_16,0.923,0.8,0.857,0.722,0.867,0.788
SEIR01_sl500_mr025_nv10_17,0.8,0.667,0.727,0.75,1,0.857
SEIR01_sl500_mr025_nv10_18,0.833,0.833,0.833,0.857,1,0.923
SEIR01_sl500_mr025_nv10_19,0.875,0.875,0.875,0.778,0.875,0.824
SEIR01_sl500_mr025_nv10_2,0.833,0.625,0.714,0.889,1,0.941
SEIR01_sl500_mr025_nv10_20,0.788,0.812,0.8,0.824,0.875,0.848
SEIR01_sl500_mr025_nv10_3,0.826,0.905,0.864,0.783,0.857,0.818
SEIR01_sl500_mr025_nv10_4,0.857,0.857,0.857,0.778,1,0.875
SEIR01_sl500_mr025_nv10_5,0.667,0.8,0.727,0.571,0.8,0.667
SEIR01_sl500_mr025_nv10_6,0.897,0.981,0.937,0.864,0.962,0.911
SEIR01_sl500_mr025_nv10_7,0.943,0.971,0.957,0.919,1,0.958
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.762,1,0.865
SEIR01_sl500_mr025_nv10_9,1,0.889,0.941,1,1,1
SIR003_sl1000_mr025_nv10_1,0.846,0.786,0.815,0.867,0.929,0.897
SIR003_sl1000_mr025_nv10_10,0.846,0.846,0.846,0.75,0.923,0.828
SIR003_sl1000_mr025_nv10_11,0.704,0.633,0.667,0.758,0.833,0.794
SIR003_sl1000_mr025_nv10_12,0.816,0.816,0.816,0.885,0.939,0.911
SIR003_sl1000_mr025_nv10_13,0.833,0.455,0.588,0.8,0.727,0.762
SIR003_sl1000_mr025_nv10_14,1,0.667,0.8,0.882,1,0.938
SIR003_sl1000_mr025_nv10_15,0.8,0.667,0.727,0.708,0.708,0.708
SIR003_sl1000_mr025_nv10_16,0.769,0.588,0.667,0.75,0.882,0.811
