dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr05_nv10_17,0.913,0.955,0.933,1.0,0.636,0.778
SEIR01_sl1000_mr05_nv10_18,0.957,0.804,0.874,0.955,0.75,0.84
SEIR01_sl1000_mr05_nv10_19,0.8,0.571,0.667,0.667,0.286,0.4
SEIR01_sl1000_mr05_nv10_2,1.0,0.875,0.933,1.0,1.0,1.0
SEIR01_sl1000_mr05_nv10_20,0.976,0.788,0.872,0.974,0.731,0.835
SEIR01_sl1000_mr05_nv10_3,1.0,0.8,0.889,1.0,0.64,0.78
SEIR01_sl1000_mr05_nv10_4,0.889,0.727,0.8,0.889,0.727,0.8
SEIR01_sl1000_mr05_nv10_5,1.0,0.889,0.941,1.0,0.833,0.909
SEIR01_sl1000_mr05_nv10_6,0.97,0.8,0.877,0.962,0.625,0.758
SEIR01_sl1000_mr05_nv10_7,0.949,0.804,0.871,0.971,0.717,0.825
SEIR01_sl1000_mr05_nv10_8,1.0,0.875,0.933,1.0,1.0,1.0
SEIR01_sl1000_mr05_nv10_9,1.0,0.885,0.939,1.0,0.731,0.844
SEIR01_sl250_mr025_nv10_1,0.857,0.4,0.545,0.867,0.578,0.693
SEIR01_sl250_mr025_nv10_10,0.857,0.353,0.5,0.857,0.706,0.774
SEIR01_sl250_mr025_nv10_11,0.8,0.25,0.381,0.75,0.562,0.643
SEIR01_sl250_mr025_nv10_12,0.885,0.535,0.667,0.833,0.698,0.759
SEIR01_sl250_mr025_nv10_13,0.5,0.167,0.25,0.8,0.667,0.727
SEIR01_sl250_mr025_nv10_14,0.96,0.522,0.676,0.781,0.543,0.641
SEIR01_sl250_mr025_nv10_15,0,0,0,1.0,0.714,0.833
SEIR01_sl250_mr025_nv10_16,0.842,0.348,0.492,0.828,0.522,0.64
SEIR01_sl250_mr025_nv10_17,1.0,0.125,0.222,0.571,0.5,0.533
SEIR01_sl250_mr025_nv10_18,1.0,0.406,0.578,0.846,0.688,0.759
SEIR01_sl250_mr025_nv10_19,1.0,0.5,0.667,0.889,0.667,0.762
SEIR01_sl250_mr025_nv10_2,0.75,0.214,0.333,0.909,0.714,0.8
SEIR01_sl250_mr025_nv10_20,0.875,0.389,0.538,0.933,0.778,0.848
SEIR01_sl250_mr025_nv10_3,1.0,0.407,0.579,0.833,0.556,0.667
SEIR01_sl250_mr025_nv10_4,1.0,0.643,0.783,1.0,0.714,0.833
SEIR01_sl250_mr025_nv10_5,0.882,0.366,0.517,0.8,0.585,0.676
SEIR01_sl250_mr025_nv10_6,0.857,0.273,0.414,0.842,0.727,0.78
SEIR01_sl250_mr025_nv10_7,0.8,0.286,0.421,1.0,0.929,0.963
SEIR01_sl250_mr025_nv10_8,1.0,0.382,0.553,0.857,0.706,0.774
SEIR01_sl250_mr025_nv10_9,0.87,0.328,0.476,0.923,0.59,0.72
SEIR01_sl500_mr025_nv10_1,0.667,0.2,0.308,0.857,0.6,0.706
SEIR01_sl500_mr025_nv10_10,1.0,0.857,0.923,1.0,0.786,0.88
SEIR01_sl500_mr025_nv10_11,0.9,0.529,0.667,0.867,0.765,0.812
SEIR01_sl500_mr025_nv10_12,0.889,0.627,0.736,0.944,0.667,0.782
SEIR01_sl500_mr025_nv10_13,0.923,0.6,0.727,0.917,0.55,0.687
SEIR01_sl500_mr025_nv10_14,1.0,0.667,0.8,1.0,0.667,0.8
SEIR01_sl500_mr025_nv10_15,1.0,0.845,0.916,0.955,0.724,0.824
SEIR01_sl500_mr025_nv10_16,0.889,0.533,0.667,1.0,0.6,0.75
SEIR01_sl500_mr025_nv10_17,1.0,0.167,0.286,0.667,0.333,0.444
SEIR01_sl500_mr025_nv10_18,1.0,0.833,0.909,1.0,0.667,0.8
SEIR01_sl500_mr025_nv10_19,1.0,0.25,0.4,0.778,0.875,0.824
SEIR01_sl500_mr025_nv10_2,1.0,0.5,0.667,1.0,0.75,0.857
SEIR01_sl500_mr025_nv10_20,0.846,0.688,0.759,1.0,0.562,0.72
SEIR01_sl500_mr025_nv10_3,0.917,0.524,0.667,0.824,0.667,0.737
SEIR01_sl500_mr025_nv10_4,1.0,0.429,0.6,0.833,0.714,0.769
SEIR01_sl500_mr025_nv10_5,1.0,0.4,0.571,0.6,0.6,0.6
SEIR01_sl500_mr025_nv10_6,0.955,0.792,0.866,0.913,0.792,0.848
SEIR01_sl500_mr025_nv10_7,0.957,0.647,0.772,0.966,0.824,0.889
SEIR01_sl500_mr025_nv10_8,0.875,0.438,0.583,0.812,0.812,0.812
SEIR01_sl500_mr025_nv10_9,1.0,0.667,0.8,1.0,0.889,0.941
SIR003_sl1000_mr025_nv10_1,0.846,0.786,0.815,1.0,0.643,0.783
SIR003_sl1000_mr025_nv10_10,0.909,0.769,0.833,1.0,0.769,0.87
SIR003_sl1000_mr025_nv10_11,0.68,0.567,0.618,1.0,0.5,0.667
SIR003_sl1000_mr025_nv10_12,0.822,0.755,0.787,0.971,0.673,0.795
SIR003_sl1000_mr025_nv10_13,0.833,0.455,0.588,1.0,0.364,0.533
SIR003_sl1000_mr025_nv10_14,1.0,0.733,0.846,1.0,0.667,0.8
SIR003_sl1000_mr025_nv10_15,0.8,0.667,0.727,1.0,0.625,0.769
SIR003_sl1000_mr025_nv10_16,0.75,0.529,0.621,0.9,0.529,0.667
SIR003_sl1000_mr025_nv10_17,0.895,0.739,0.81,1.0,0.696,0.821
SIR003_sl1000_mr025_nv10_18,1.0,1.0,1.0,1.0,0.6,0.75
SIR003_sl1000_mr025_nv10_19,0.706,0.5,0.585,1.0,0.542,0.703
SIR003_sl1000_mr025_nv10_2,0.941,0.842,0.889,0.941,0.842,0.889
SIR003_sl1000_mr025_nv10_20,0.875,0.778,0.824,1.0,0.667,0.8
SIR003_sl1000_mr025_nv10_3,1.0,0.692,0.818,1.0,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.778,0.677,0.724,1.0,0.484,0.652
SIR003_sl1000_mr025_nv10_5,1.0,0.571,0.727,1.0,0.571,0.727
SIR003_sl1000_mr025_nv10_6,0.895,0.739,0.81,1.0,0.609,0.757
SIR003_sl1000_mr025_nv10_7,0.692,0.562,0.621,1.0,0.5,0.667
SIR003_sl1000_mr025_nv10_8,0.917,0.733,0.815,1.0,0.867,0.929
SIR003_sl1000_mr025_nv10_9,0.727,0.571,0.64,0.824,0.5,0.622
SIR003_sl1000_mr05_nv10_1,0.833,0.588,0.69,0.917,0.647,0.759
SIR003_sl1000_mr05_nv10_10,1.0,0.769,0.87,1.0,0.846,0.917
SIR003_sl1000_mr05_nv10_11,0.793,0.657,0.719,0.947,0.514,0.667
SIR003_sl1000_mr05_nv10_12,0.846,0.8,0.822,0.974,0.673,0.796
SIR003_sl1000_mr05_nv10_13,0.804,0.732,0.766,1.0,0.554,0.713
SIR003_sl1000_mr05_nv10_14,1.0,0.8,0.889,1.0,0.9,0.947
SIR003_sl1000_mr05_nv10_15,0.9,0.692,0.783,1.0,0.692,0.818
SIR003_sl1000_mr05_nv10_16,0.864,0.76,0.809,0.941,0.64,0.762
